DI-W1-v0;0;DI;1;15
DI-W2-v0;0;DI;1;15
DI-W3-v0;0;DI;1;15
GC-W1-v0;0;GC;1;15
GA-W1-v0;0;GA;1;20
GA-W2-v0;0;GA;1;20
PA-W2-v0;0;PA;1;25
GA-W1-v1;0;GA;20;30
DI-W1-v1;0;DI;15;35
GC-W1-v1;0;GC;15;35
REP-W2-v0;0;REP;1;35
DI-W2-v1;0;DI;15;40
AA-W3-v0;0;AA;1;50
AA-W4-v0;0;AA;1;50
DI-W1-réunion;0;DI;1;50
DI-W1-v2;0;DI;35;50
GA-W1-réunion;0;GA;1;50
GA-W1-v2;0;GA;30;50
REP-W2-v1;0;REP;35;50
GA-W3-v0;0;GA;1;55
GC-W1-réunion;0;GC;1;55
GC-W1-v2;0;GC;35;55
GA-W2-v1;0;GA;20;60
GA-W3-v1;0;GA;55;60
GC-W3-v0;0;GC;1;60
GC-W4-v0;0;GC;1;60
DI-W1-v3;0;DI;50;65
GA-W1-v3;0;GA;50;65
GC-W1-v3;0;GC;55;65
PA-W2-v1;0;PA;25;65
REP-W2-réunion;0;REP;1;65
REP-W2-v2;0;REP;50;65
REP-W3-v0;0;REP;1;65
REP-W4-v0;0;REP;1;65
DI-W2-réunion;0;DI;1;75
DI-W2-v2;2;DI;40;75
GA-W2-réunion;0;GA;1;75
GA-W2-v2;0;GA;60;75
GA-W3-réunion;1;GA;1;75
GA-W3-v2;1;GA;60;75
REP-W2-v3;5;REP;65;75
REP-W3-v1;14;REP;65;75
AA-W3-v1;19;AA;50;79
AA-W4-v1;7;AA;50;79
