W1 E1-DI;9;DI-E;74;89
W1 E1-GC;25;GC-E;74;84
W1 E1-GA;9;GA-E;74;84
W2.1 E1-GA;11;GA-E;92;106
W2.1 E1-DI;11;DI-E;92;106
W2.1 E1-REP;31;REP-E;92;106
W1 E2-DI;9;DI-E;108;116
W1 E2-GC;25;GC-E;108;116
W1 E2-GA;9;GA-E;108;116
W2.21 E1-PA;51;PA-E;108;126
W2.22 E1-INT;11;INT-E;128;146
W2.22 E1-RES;9;RES-E;128;146
W2.1 E2-GA;11;GA-E;128;141
W2.1 E2-DI;11;DI-E;128;141
W2.1 E2-REP;31;REP-E;128;141
W3.1 E1-DI;3;DI-E;128;167
W3.1 E1-GC;36;GC-E;128;167
W3.1 E1-GA;9;GA-E;128;167
W3.1 E1-PA;4;PA-E;128;167
W3.1 E1-INT;2;INT-E;128;167
W3.2 E1-AA;23;AA-E;128;167
W3.2 E1-PA;3;PA-E;128;167
W3.2 E1-RES;9;RES-E;128;167
W3.2 E1-REP;8;REP-E;128;167
W3.2 E1-INT;1;INT-E;128;167
W2.2 E2-PA;51;PA-E;171;180
W2.2 E2-INT;11;INT-E;171;184
W2.2 E2-RES;9;RES-E;171;184
W4.1 E1-PA;24;PA-E;171;211
W4.1 E1-AA;4;AA-E;171;189
W4.1 E1-REP;16;REP-E;171;211
W4.1 E1-RES;9;RES-E;171;211
W4.1 E1-INT;18;INT-E;171;189
W3.1 E2-DI;3;DI-E;191;201
W3.1 E2-GC;36;GC-E;191;201
W3.1 E2-GA;9;GA-E;191;201
W3.1 E2-PA;4;PA-E;191;201
W3.1 E2-INT;2;INT-E;191;201
W3.2 E2-AA;23;AA-E;213;223
W3.2 E2-PA;3;PA-E;213;223
W3.2 E2-RES;9;RES-E;213;223
W3.2 E2-REP;8;REP-E;213;223
W3.2 E2-INT;1;INT-E;213;223
W4.2 E1-GA;24;GA-E;191;211
W4.2 E1-GC;13;GC-E;191;211
W5.1 E1-GE;2;GE-E;213;232
W5.1 E1-REP;11;REP-E;213;232
W5.1 E1-INT;39;INT-E;213;232
W5.1 E1-RES;18;RES-E;213;232
W4.1 E2-PA;24;PA-E;234;252
W4.1 E2-AA;4;AA-E;234;252
W4.1 E2-REP;16;REP-E;234;261
W4.1 E2-RES;9;RES-E;234;261
W4.1 E2-INT;18;INT-E;234;252
W4.2 E2-GE;24;GE-E;234;243
W4.2 E2-GC;13;GC-E;234;243
W5.1 E2-GE;2;GE-E;254;267
W5.1 E2-REP;11;REP-E;254;267
W5.1 E2-INT;39;INT-E;254;267
W5.1 E2-RES;18;RES-E;254;267
