VCH;PA;AA;INT;PA-E-SPV;D1;D2;D3;AA-E-SPV;INT-E-SPV;;;;;
VCH;1;93;;;;;;;;;;;;
VCH;156;169;;;;;;;;;;;;
CTA;REP;INT;RES;REP-E-SPV;INT-E-SPV;RES-E-SPV;AA-E-SPV;GA-E-SPV;GC-E-SPV;DI-E-SPV;GE-E-SPV;;;
CTA;1;93;;;;;;;;;;;;
CTA;101;101;;;;;;;;;;;;
CTA;106;108;;;;;;;;;;;;
CTA;141;156;;;;;;;;;;;;
SCL;AA;GA;GC;DI;GE;RES;AA-E-SPV;GA-E-SPV;GC-E-SPV;DI-E-SPV;GE-E-SPV;RES-E-SPV;REP-E-SPV;INT-E-SPV
SCL;1;93;;;;;;;;;;;;
SCL;101;101;;;;;;;;;;;;
SCL;106;107;;;;;;;;;;;;
SCL;117;126;;;;;;;;;;;;
SCL;141;145;;;;;;;;;;;;
SCL;160;169;;;;;;;;;;;;
GDE;PA;RES;GE;PA-E;RES-E;AA-E;INT-E;PA-E-SPV;INT-E-SPV;;;;;
GDE;1;94;;;;;;;;;;;;
GDE;98;98;;;;;;;;;;;;
GDE;139;145;;;;;;;;;;;;
AGL;GC;RES;GA-E;GC-E;DI-E;INT-E;PA-E;AA-E;RES-E;REP-E;;;;
AGL;1;93;;;;;;;;;;;;
AGL;96;97;;;;;;;;;;;;
AGL;111;111;;;;;;;;;;;;
JPH;AA;GC;RES;DI;GA;GE;PA-E;AA-E;INT-E;GE-E;GA-E;RES-E;REP-E;GC-E
JPH;1;93;;;;;;;;;;;;
JPH;101;101;;;;;;;;;;;;
JPH;151;164;;;;;;;;;;;;
HDR;REP-E;INT-E;DI-E;GA-E;GC-E;PA-E;AA-E;REP;;;;;;
HDR;1;93;;;;;;;;;;;;
EOU;DI-E;GA-E;GC-E;PA-E;AA-E;INT-E;REP-E;DI;;;;;;
EOU;1;93;;;;;;;;;;;;
EOU;101;101;;;;;;;;;;;;
GPE;DI-E;GA-E;GC-E;PA-E;AA-E;INT-E;RES-E;GE-E;REP-E;PA
GPE;1;93;;;;;;;;
GPE;101;101;;;;;;;;
